"STATISTIC","Statistic","TLIST(A1)","Year","C03113V03763","Test Centre","UNIT","VALUE"
"ROA09","Waiting at Driver Testing Centres","2003","2003","01","Dundalk","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2003","2003","02","Finglas","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2003","2003","03","Mullingar","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2003","2003","05","Navan","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","06","Raheny","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2003","2003","07","Gorey","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2003","2003","08","Naas","Weeks","56"
"ROA09","Waiting at Driver Testing Centres","2003","2003","09","Rathgar","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","10","Tallaght","Weeks","54"
"ROA09","Waiting at Driver Testing Centres","2003","2003","11","Tullamore","Weeks","42"
"ROA09","Waiting at Driver Testing Centres","2003","2003","12","Wicklow","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2003","2003","13","Athlone","Weeks","17"
"ROA09","Waiting at Driver Testing Centres","2003","2003","14","Birr","Weeks","32"
"ROA09","Waiting at Driver Testing Centres","2003","2003","15","Castlebar","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2003","2003","16","Clifden","Weeks","15"
"ROA09","Waiting at Driver Testing Centres","2003","2003","17","Ennis","Weeks","17"
"ROA09","Waiting at Driver Testing Centres","2003","2003","18","Galway","Weeks","36"
"ROA09","Waiting at Driver Testing Centres","2003","2003","19","Loughrea","Weeks","18"
"ROA09","Waiting at Driver Testing Centres","2003","2003","20","Roscommon","Weeks","28"
"ROA09","Waiting at Driver Testing Centres","2003","2003","21","Tuam","Weeks","33"
"ROA09","Waiting at Driver Testing Centres","2003","2003","22","Ballina","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2003","2003","23","Buncrana","Weeks","21"
"ROA09","Waiting at Driver Testing Centres","2003","2003","24","Carrick-on-Shannon","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2003","2003","25","Cavan","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","26","Donegal","Weeks","34"
"ROA09","Waiting at Driver Testing Centres","2003","2003","27","Letterkenny","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2003","2003","28","Longford","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2003","2003","29","Monaghan","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2003","2003","30","Sligo","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2003","2003","31","Carlow","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2003","2003","32","Clonmel","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2003","2003","33","Dungarvan","Weeks","54"
"ROA09","Waiting at Driver Testing Centres","2003","2003","34","Kilkenny","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2003","2003","35","Nenagh","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","36","Portlaoise","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","37","Thurles","Weeks","54"
"ROA09","Waiting at Driver Testing Centres","2003","2003","38","Tipperary","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2003","2003","39","Waterford","Weeks","54"
"ROA09","Waiting at Driver Testing Centres","2003","2003","40","Wexford","Weeks","47"
"ROA09","Waiting at Driver Testing Centres","2003","2003","41","Cork","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2003","2003","42","Killarney","Weeks","46"
"ROA09","Waiting at Driver Testing Centres","2003","2003","43","Kilrush","Weeks","38"
"ROA09","Waiting at Driver Testing Centres","2003","2003","44","Limerick","Weeks","47"
"ROA09","Waiting at Driver Testing Centres","2003","2003","45","Mallow","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2003","2003","46","Newcastlewest","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2003","2003","47","Shannon","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2003","2003","48","Skibbereen","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2003","2003","49","Tralee","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2003","2003","50","Churchtown","Weeks",""
"ROA09","Waiting at Driver Testing Centres","2004","2004","01","Dundalk","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2004","2004","02","Finglas","Weeks","36"
"ROA09","Waiting at Driver Testing Centres","2004","2004","03","Mullingar","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2004","2004","05","Navan","Weeks","50"
"ROA09","Waiting at Driver Testing Centres","2004","2004","06","Raheny","Weeks","55"
"ROA09","Waiting at Driver Testing Centres","2004","2004","07","Gorey","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2004","2004","08","Naas","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2004","2004","09","Rathgar","Weeks","49"
"ROA09","Waiting at Driver Testing Centres","2004","2004","10","Tallaght","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2004","2004","11","Tullamore","Weeks","42"
"ROA09","Waiting at Driver Testing Centres","2004","2004","12","Wicklow","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2004","2004","13","Athlone","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2004","2004","14","Birr","Weeks","35"
"ROA09","Waiting at Driver Testing Centres","2004","2004","15","Castlebar","Weeks","40"
"ROA09","Waiting at Driver Testing Centres","2004","2004","16","Clifden","Weeks","20"
"ROA09","Waiting at Driver Testing Centres","2004","2004","17","Ennis","Weeks","20"
"ROA09","Waiting at Driver Testing Centres","2004","2004","18","Galway","Weeks","35"
"ROA09","Waiting at Driver Testing Centres","2004","2004","19","Loughrea","Weeks","25"
"ROA09","Waiting at Driver Testing Centres","2004","2004","20","Roscommon","Weeks","26"
"ROA09","Waiting at Driver Testing Centres","2004","2004","21","Tuam","Weeks","26"
"ROA09","Waiting at Driver Testing Centres","2004","2004","22","Ballina","Weeks","32"
"ROA09","Waiting at Driver Testing Centres","2004","2004","23","Buncrana","Weeks","36"
"ROA09","Waiting at Driver Testing Centres","2004","2004","24","Carrick-on-Shannon","Weeks","33"
"ROA09","Waiting at Driver Testing Centres","2004","2004","25","Cavan","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2004","2004","26","Donegal","Weeks","35"
"ROA09","Waiting at Driver Testing Centres","2004","2004","27","Letterkenny","Weeks","45"
"ROA09","Waiting at Driver Testing Centres","2004","2004","28","Longford","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2004","2004","29","Monaghan","Weeks","40"
"ROA09","Waiting at Driver Testing Centres","2004","2004","30","Sligo","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2004","2004","31","Carlow","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2004","2004","32","Clonmel","Weeks","50"
"ROA09","Waiting at Driver Testing Centres","2004","2004","33","Dungarvan","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2004","2004","34","Kilkenny","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2004","2004","35","Nenagh","Weeks","49"
"ROA09","Waiting at Driver Testing Centres","2004","2004","36","Portlaoise","Weeks","47"
"ROA09","Waiting at Driver Testing Centres","2004","2004","37","Thurles","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2004","2004","38","Tipperary","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2004","2004","39","Waterford","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2004","2004","40","Wexford","Weeks","40"
"ROA09","Waiting at Driver Testing Centres","2004","2004","41","Cork","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2004","2004","42","Killarney","Weeks","47"
"ROA09","Waiting at Driver Testing Centres","2004","2004","43","Kilrush","Weeks","27"
"ROA09","Waiting at Driver Testing Centres","2004","2004","44","Limerick","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2004","2004","45","Mallow","Weeks","35"
"ROA09","Waiting at Driver Testing Centres","2004","2004","46","Newcastlewest","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2004","2004","47","Shannon","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2004","2004","48","Skibbereen","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2004","2004","49","Tralee","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2004","2004","50","Churchtown","Weeks",""
"ROA09","Waiting at Driver Testing Centres","2005","2005","01","Dundalk","Weeks","46"
"ROA09","Waiting at Driver Testing Centres","2005","2005","02","Finglas","Weeks","49"
"ROA09","Waiting at Driver Testing Centres","2005","2005","03","Mullingar","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2005","2005","05","Navan","Weeks","56"
"ROA09","Waiting at Driver Testing Centres","2005","2005","06","Raheny","Weeks","60"
"ROA09","Waiting at Driver Testing Centres","2005","2005","07","Gorey","Weeks","56"
"ROA09","Waiting at Driver Testing Centres","2005","2005","08","Naas","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2005","2005","09","Rathgar","Weeks","53"
"ROA09","Waiting at Driver Testing Centres","2005","2005","10","Tallaght","Weeks","59"
"ROA09","Waiting at Driver Testing Centres","2005","2005","11","Tullamore","Weeks","54"
"ROA09","Waiting at Driver Testing Centres","2005","2005","12","Wicklow","Weeks","61"
"ROA09","Waiting at Driver Testing Centres","2005","2005","13","Athlone","Weeks","26"
"ROA09","Waiting at Driver Testing Centres","2005","2005","14","Birr","Weeks","41"
"ROA09","Waiting at Driver Testing Centres","2005","2005","15","Castlebar","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2005","2005","16","Clifden","Weeks","26"
"ROA09","Waiting at Driver Testing Centres","2005","2005","17","Ennis","Weeks","36"
"ROA09","Waiting at Driver Testing Centres","2005","2005","18","Galway","Weeks","50"
"ROA09","Waiting at Driver Testing Centres","2005","2005","19","Loughrea","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2005","2005","20","Roscommon","Weeks","34"
"ROA09","Waiting at Driver Testing Centres","2005","2005","21","Tuam","Weeks","38"
"ROA09","Waiting at Driver Testing Centres","2005","2005","22","Ballina","Weeks","39"
"ROA09","Waiting at Driver Testing Centres","2005","2005","23","Buncrana","Weeks","34"
"ROA09","Waiting at Driver Testing Centres","2005","2005","24","Carrick-on-Shannon","Weeks","30"
"ROA09","Waiting at Driver Testing Centres","2005","2005","25","Cavan","Weeks","39"
"ROA09","Waiting at Driver Testing Centres","2005","2005","26","Donegal","Weeks","42"
"ROA09","Waiting at Driver Testing Centres","2005","2005","27","Letterkenny","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2005","2005","28","Longford","Weeks","33"
"ROA09","Waiting at Driver Testing Centres","2005","2005","29","Monaghan","Weeks","33"
"ROA09","Waiting at Driver Testing Centres","2005","2005","30","Sligo","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2005","2005","31","Carlow","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2005","2005","32","Clonmel","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2005","2005","33","Dungarvan","Weeks","55"
"ROA09","Waiting at Driver Testing Centres","2005","2005","34","Kilkenny","Weeks","34"
"ROA09","Waiting at Driver Testing Centres","2005","2005","35","Nenagh","Weeks","43"
"ROA09","Waiting at Driver Testing Centres","2005","2005","36","Portlaoise","Weeks","64"
"ROA09","Waiting at Driver Testing Centres","2005","2005","37","Thurles","Weeks","48"
"ROA09","Waiting at Driver Testing Centres","2005","2005","38","Tipperary","Weeks","56"
"ROA09","Waiting at Driver Testing Centres","2005","2005","39","Waterford","Weeks","39"
"ROA09","Waiting at Driver Testing Centres","2005","2005","40","Wexford","Weeks","38"
"ROA09","Waiting at Driver Testing Centres","2005","2005","41","Cork","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2005","2005","42","Killarney","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2005","2005","43","Kilrush","Weeks","37"
"ROA09","Waiting at Driver Testing Centres","2005","2005","44","Limerick","Weeks","52"
"ROA09","Waiting at Driver Testing Centres","2005","2005","45","Mallow","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2005","2005","46","Newcastlewest","Weeks","39"
"ROA09","Waiting at Driver Testing Centres","2005","2005","47","Shannon","Weeks","51"
"ROA09","Waiting at Driver Testing Centres","2005","2005","48","Skibbereen","Weeks","44"
"ROA09","Waiting at Driver Testing Centres","2005","2005","49","Tralee","Weeks","32"
"ROA09","Waiting at Driver Testing Centres","2005","2005","50","Churchtown","Weeks",""
